0-0i,-9.76473823961177e-06+1.92115285237093e-10i,0.0232825939884125-4.39813406010659e-07i
0.00642515293396856-4.17658407074603e-09i,-8.83211246171843e-06+1.90844453765116e-10i,0.0216593700105882-4.3868895022866e-07i
0.0112118733497816-7.16913258320484e-09i,-6.49341715952274e-06+1.87625503374702e-10i,0.0174848066996941-4.35845713443638e-07i
0.0137140115769857-8.56560940082673e-09i,-3.67594536074097e-06+1.83672287838221e-10i,0.0121974883059287-4.32357232897188e-07i
0.0141927230053817-8.63233415622818e-09i,-1.08908535686512e-06+1.79944715367551e-10i,0.00698433981427668-4.29061371346335e-07i
0.0132231369018658-7.83362343620785e-09i,9.73822954194955e-07+1.76877541035843e-10i,0.00245911039570653-4.26336078454652e-07i
0.0113217666570702-6.54984115486593e-09i,2.49029072570408e-06+1.74547677017445e-10i,-0.0011754576562153-4.2425252003576e-07i
0.00885261657444803-5.02191601933449e-09i,3.54105419687411e-06+1.7288259731691e-10i,-0.00391112079749909-4.22753830710579e-07i
0.00605053799002911-3.38281579142631e-09i,4.21939480416577e-06+1.71779268334097e-10i,-0.00580330746006468-4.21755393484581e-07i
0.00306564588205278-1.69878053913044e-09i,4.59757795850603e-06+1.71152467883241e-10i,-0.00691148340191737-4.21186044172414e-07i
5.22285781683216e-10-1.97470821640604e-16i,4.71889410364776e-06+1.7094940996882e-10i,-0.00727618752073293-4.21001245392078e-07i
-0.0030656449328385+1.69878017706969e-09i,4.59758012009916e-06+1.71152465848761e-10i,-0.00691148381309319-4.21186044023586e-07i
-0.00605053732513863+3.3828155291635e-09i,4.21939935794772e-06+1.71779264063316e-10i,-0.00580330822533759-4.21755393203782e-07i
-0.00885261637491015+5.02191592583397e-09i,3.54106163134603e-06+1.7288259038221e-10i,-0.00391112179524138-4.22753830336405e-07i
-0.0113217670804564+6.54984129706693e-09i,2.49030183450723e-06+1.74547666723575e-10i,-0.00117545868648405-4.24252519637792e-07i
-0.013223138047607+7.83362386478949e-09i,9.73838875678623e-07+1.76877526384539e-10i,0.00245910962566044-4.26336078144346e-07i
-0.0141927248494427+8.63233487511198e-09i,-1.08906318657759e-06+1.79944695097699e-10i,0.00698433968754349-4.29061371280599e-07i
-0.0137140138766639+8.56561032093764e-09i,-3.67591551390456e-06+1.83672260695581e-10i,0.0121974892364596-4.32357233254787e-07i
-0.0112118755700687+7.16913348584892e-09i,-6.4933790167739e-06+1.8762546882139e-10i,0.0174848089611948-4.35845714348981e-07i
-0.00642515433454152+4.1765846447025e-09i,-8.83206744878394e-06+1.90844413080607e-10i,0.0216593734649726-4.38688951630856e-07i
0-0i,-9.76469048831077e-06+1.92115242109515e-10i,0.0232825979345071-4.39813407618366e-07i
0-0i,-9.76473823961177e-06+1.92115285237093e-10i,0.0232825939884125-4.39813406010659e-07i
0.00611171017994622-3.97395764172751e-09i,0.00197610198253986-1.09976233096817e-09i,0.0216625570301185-4.38695954385546e-07i
0.0106662069019875-6.82395999262036e-09i,0.00345775013543208-2.02865339428795e-09i,0.0174890461465512-4.35856465164903e-07i
0.0130471124211539-8.15554267211451e-09i,0.00423403221465634-2.4652052776122e-09i,0.0122004179391973-4.32368001679128e-07i
0.0135020682068892-8.2207863552185e-09i,0.00438456010677896-2.49024597596792e-09i,0.00698499830237892-4.29070112672254e-07i
0.0125784362304187-7.46150184338572e-09i,0.00408674537538989-2.2467822350463e-09i,0.00245778262946636-4.26342348255757e-07i
0.0107681159865347-6.24008145740737e-09i,0.00350031173766782-1.85242707646797e-09i,-0.00117795222115894-4.24256651390689e-07i
0.00841781816902731-4.78618838029173e-09i,0.00273795936940178-1.3818548366963e-09i,-0.00391390978351228-4.22756350019091e-07i
0.00575122289873502-3.22659754225038e-09i,0.00187245051576722-8.76358179313487e-10i,-0.00580567032104339-4.21756763619676e-07i
0.00291127974587424-1.62446760757233e-09i,0.000950305862112865-3.5654869823315e-10i,-0.00691291409861506-4.21186586379223e-07i
-4.85212741607402e-06-8.58134295435017e-12i,3.14275465042908e-06+1.68161743030243e-10i,-0.00727640693247329-4.21001128882071e-07i
-0.00292033609073746+1.60701871899913e-09i,-0.000944052531645185+6.93185360740768e-10i,-0.00691044069537499-4.21185291203642e-07i
-0.00575838411977275+3.20832763945405e-09i,-0.00186633799076013+1.21398184715599e-09i,-0.00580118083857665-4.21753882051437e-07i
-0.00842199851295344+4.76669776193931e-09i,-0.00273223532422725+1.72128881865237e-09i,-0.00390832105318926-4.22751293029963e-07i
-0.0107685570945427+6.21927392083842e-09i,-0.00349547475435628+2.19476373781386e-09i,-0.00117262396367664-4.24248552805746e-07i
-0.0125749729378389+7.43987241909522e-09i,-0.00408367330878505+2.59351206875723e-09i,0.00246115251185027-4.26330209126243e-07i
-0.0134955079042065+8.19981794742285e-09i,-0.00438460816872236+2.84332535369316e-09i,0.00698473505518773-4.29053276833088e-07i
-0.0130395414876771+8.13794298268355e-09i,-0.00423892593133874+2.82683437101955e-09i,0.0121957523505809-4.32347249549595e-07i
-0.0106605556124281+6.81290811871011e-09i,-0.00346890218856945+2.40031562908065e-09i,0.0174815052981509-4.35835610736702e-07i
-0.00610974845410107+3.97044431920706e-09i,-0.00199312931281668+1.4803104471627e-09i,0.0216565308408029-4.38682193487105e-07i
0-0i,-9.76469048831077e-06+1.92115242109515e-10i,0.0232825979345071-4.39813407618366e-07i
0-0i,-9.76473823961177e-06+1.92115285237093e-10i,0.0232825939884125-4.39813406010659e-07i
0.00519978488742831-3.38187257306041e-09i,0.00376735661304447-2.26506816788437e-09i,0.0216657278408572-4.38702484376671e-07i
0.00907595524702849-5.80945718921391e-09i,0.00658487696533385-4.03136387680307e-09i,0.0174936748085612-4.35866722329983e-07i
0.0111026150758486-6.94508453214876e-09i,0.00805988510367483-4.86028605355326e-09i,0.0122040860438887-4.32378392775951e-07i
0.0114896362936716-7.00210113204499e-09i,0.00834388197689694-4.90565575932803e-09i,0.00698649794265627-4.29078555984358e-07i
0.010702866155667-6.35647804030159e-09i,0.00777475825981023-4.43998467811917e-09i,0.00245719891289465-4.26348349982975e-07i
0.00916128943467302-5.31702678505648e-09i,0.0066567461608014-3.68744905487396e-09i,-0.00117991098403797-4.24260520472582e-07i
0.00716028889643364-4.07956212130645e-09i,0.00520447033566761-2.79035042971011e-09i,-0.00391641630176945-4.22758607699806e-07i
0.00489042530124482-2.75219562693685e-09i,0.00355645719086422-1.82733556825633e-09i,-0.00580800458554672-4.21757878771237e-07i
0.00247346472280137-1.38878955436073e-09i,0.00180124967280528-8.376321885915e-10i,-0.00691453772498837-4.2118689481195e-07i
-7.85259155453936e-06-1.38862645891545e-11i,-9.84855515652082e-07+1.60862548334377e-10i,-0.00727698143676004-4.21000823818195e-07i
-0.00248812119203158+1.36055373457021e-09i,-0.00180270032272619+1.15942699970942e-09i,-0.00690983189185265-4.21184431314279e-07i
-0.00490201431188378+2.72263077485433e-09i,-0.00355643630609713+2.14941899611774e-09i,-0.00579946310492523-4.21752397677697e-07i
-0.00716705307013707+4.04802116367935e-09i,-0.00520230193657968+3.11320584980272e-09i,-0.00390578368402873-4.2274898825502e-07i
-0.00916200136241986+5.28335388873061e-09i,-0.00665228384435768+4.01208719253548e-09i,-0.00116977441607399-4.24245114573171e-07i
-0.0106972586704965+6.32147440358119e-09i,-0.00776873973297964+4.76831749583007e-09i,0.00246360886386054-4.26325256918587e-07i
-0.0114790165623366+6.96816705112064e-09i,-0.00833834981384573+5.24090153124645e-09i,0.00698599501015601-4.29046527448094e-07i
-0.0110903604492432+6.91660269135191e-09i,-0.00805833997636787+5.2069483007384e-09i,0.012195207419178-4.32338914183385e-07i
-0.00906680839482099+5.79157251064993e-09i,-0.00659122351261652+4.39362895384787e-09i,0.0174793267936643-4.35827050523682e-07i
-0.00519660959298783+3.37618730333839e-09i,-0.00378271581053476+2.64262932854167e-09i,0.0216542616812099-4.38676307573777e-07i
0-0i,-9.76469048831077e-06+1.92115242109515e-10i,0.0232825979345071-4.39813407618366e-07i
0-0i,-9.76473823961177e-06+1.92115285237093e-10i,0.0232825939884125-4.39813406010659e-07i
0.0037783894246783-2.45791818744676e-09i,0.00518936718409378-3.19059005104684e-09i,0.0216684440677931-4.38707809604379e-07i
0.00659582925902773-4.22363106752035e-09i,0.00906817272145357-5.62318505691968e-09i,0.0174978920170467-4.35875240339955e-07i
0.00806925170679058-5.05052417497551e-09i,0.0110986183813776-6.7651030558521e-09i,0.0122076906810437-4.32387097835072e-07i
0.00835057559603042-5.09289666355053e-09i,0.011488720989807-6.82745020650967e-09i,0.00698830064481592-4.29085634940632e-07i
0.00777836400712782-4.62397870780759e-09i,0.0107038020326307-6.18556789054231e-09i,0.00245715080500542-4.26353347580649e-07i
0.00665736360554195-3.86847106696234e-09i,0.00916307236014102-5.14849932410683e-09i,-0.00118126859985226-4.24263687612916e-07i
0.00520246964219107-2.96892542410163e-09i,0.00716230208890373-3.91246909554749e-09i,-0.00391839943877358-4.22760389533995e-07i
0.00355231740570924-2.00405947070597e-09i,0.0048923756477591-2.58592038921439e-09i,-0.00580999434766179-4.21758682216688e-07i
0.00179548381512453-1.0130914373051e-09i,0.00247528434091875-1.22293046369892e-09i,-0.00691605138157486-4.21187017555203e-07i
-7.85431869034965e-06-1.3888080598312e-11i,-6.08882079105327e-06+1.51838086034178e-10i,-0.00727769172328195-4.21000446658974e-07i
-0.00181014334165263+9.84851754439128e-10i,-0.00248626109781978+1.52637514760201e-09i,-0.00690957289323395-4.21183626792873e-07i
-0.00356390832698225+1.97449007728662e-09i,-0.00489988659915807+2.8887896506497e-09i,-0.00579823552951574-4.21751137770778e-07i
-0.00520923397027825+2.9373788699219e-09i,-0.00716452886441406+4.21482569590659e-09i,-0.0039037622725185-4.22747148254057e-07i
-0.00665807359512903+3.83479134881672e-09i,-0.00915907093782252+5.4512528856405e-09i,-0.00116731524835655-4.24242480239252e-07i
-0.00777275265185626+4.58896733341638e-09i,-0.0106941370897728+6.49115171160571e-09i,0.00246597254379461-4.26321557122971e-07i
-0.00833995101296795+5.05895505336528e-09i,-0.0114762858409173+7.14064368054785e-09i,0.00698760451395163-4.29041543081935e-07i
-0.00805699295945806+5.02203684586298e-09i,-0.0110891098785178+7.09325894137825e-09i,0.0121954643206474-4.32332750932896e-07i
-0.00658668036600679+4.20574407223931e-09i,-0.00906857724303495+5.97383201010534e-09i,0.0174781386839999-4.35820630468957e-07i
-0.00377521365574509+2.45223257370898e-09i,-0.00520266409007892+3.56445880596397e-09i,0.0216526600166198-4.38671778516213e-07i
0-0i,-9.76469048831077e-06+1.92115242109515e-10i,0.0232825979345071-4.39813407618366e-07i
0-0i,-9.76473823961177e-06+1.92115285237093e-10i,0.0232825939884125-4.39813406010659e-07i
0.00198660187623547-1.29249478617619e-09i,0.0061025865675315-3.78516434784168e-09i,0.0216702812986841-4.38711295412795e-07i
0.0034682723466832-2.22147638355536e-09i,0.0106633837882397-6.64641280147803e-09i,0.0175008537486036-4.3588088600898e-07i
0.0042432709988629-2.65684344999116e-09i,0.0130509736171747-7.99010398459647e-09i,0.0122103292016816-4.32392901576697e-07i
0.00439124955942097-2.67945776849466e-09i,0.0135093522550757-8.06378256324424e-09i,0.0069897443601581-4.29090357135437e-07i
0.00409022946687881-2.43298599364264e-09i,0.0125856761972284-7.30882958008476e-09i,0.00245731385859284-4.26356666182275e-07i
0.00350054382684505-2.03567951222008e-09i,0.0107731251145267-6.08892719284319e-09i,-0.0011820483654447-4.24265766382679e-07i
0.00273527305908596-1.56258383673962e-09i,0.00841970124894186-4.6350512278855e-09i,-0.00391966998382478-4.22761529040851e-07i
0.00186736917131856-1.05514418888542e-09i,0.00574999287170179-3.0748535394731e-09i,-0.0058113360646281-4.21759160034005e-07i
0.000943439700404227-5.34009095209822e-10i,0.0029075194543466-1.47198399721024e-09i,-0.00691712838517063-4.21187039408654e-07i
-4.85507034362936e-06-8.58422519493357e-12i,-1.02195679344713e-05+1.44535381014714e-10i,-0.00727826648719814-4.21000141465997e-07i
-0.000952501261718736+5.16554058920533e-10i,-0.00292620573749543+1.76057937884274e-09i,-0.00690951114690151-4.21183053255096e-07i
-0.00187453367270248+1.03686701259017e-09i,-0.00576359890863801+3.36217384819286e-09i,-0.00579751052637915-4.21750290604848e-07i
-0.0027394537094989+1.54308418942589e-09i,-0.00842548390715712+4.92081859422902e-09i,-0.00390246064923661-4.22745961725259e-07i
